index,precision,recall,f1-score,support,classifier,category
text,0.9035087719298246,0.9537037037037036,0.927927927927928,108.0,ResNet50 AugmentedData,ComputerVision target_limited_corr
accuracy,0.9108527131782944,0.9108527131782944,0.9108527131782944,0.9108527131782944,ResNet50 AugmentedData,ComputerVision target_limited_corr
macro avg,0.8890074557767728,0.8371634422654832,0.86012579012579,258.0,ResNet50 AugmentedData,ComputerVision target_limited_corr
weighted avg,0.9110719029141384,0.9108527131782944,0.9098922446596864,258.0,ResNet50 AugmentedData,ComputerVision target_limited_corr
budget,0.5,0.2222222222222222,0.30769230769230765,9.0,ResNet50 AugmentedData,ComputerVision target_min_corr
email,0.7142857142857143,0.625,0.6666666666666666,8.0,ResNet50 AugmentedData,ComputerVision target_min_corr
file folder,0.6666666666666666,0.5714285714285714,0.6153846153846153,7.0,ResNet50 AugmentedData,ComputerVision target_min_corr
id piece,1.0,0.9259259259259259,0.9615384615384615,27.0,ResNet50 AugmentedData,ComputerVision target_min_corr
invoice,0.375,0.42857142857142855,0.39999999999999997,14.0,ResNet50 AugmentedData,ComputerVision target_min_corr
other_types,0.5652173913043478,0.65,0.6046511627906976,40.0,ResNet50 AugmentedData,ComputerVision target_min_corr
passport,0.875,0.9545454545454546,0.9130434782608695,22.0,ResNet50 AugmentedData,ComputerVision target_min_corr
pay,0.8979591836734694,0.8979591836734694,0.8979591836734694,49.0,ResNet50 AugmentedData,ComputerVision target_min_corr
postcard,0.9714285714285714,0.918918918918919,0.9444444444444445,37.0,ResNet50 AugmentedData,ComputerVision target_min_corr
questionnaire,0.0,0.0,0.0,2.0,ResNet50 AugmentedData,ComputerVision target_min_corr
residence proof,0.75,0.6666666666666666,0.7058823529411765,9.0,ResNet50 AugmentedData,ComputerVision target_min_corr
resume,1.0,0.5,0.6666666666666666,4.0,ResNet50 AugmentedData,ComputerVision target_min_corr
scientific_doc,0.48148148148148145,0.65,0.553191489361702,20.0,ResNet50 AugmentedData,ComputerVision target_min_corr
specification,0.75,0.3,0.4285714285714285,10.0,ResNet50 AugmentedData,ComputerVision target_min_corr
accuracy,0.7403100775193798,0.7403100775193798,0.7403100775193798,0.7403100775193798,ResNet50 AugmentedData,ComputerVision target_min_corr
macro avg,0.6819313577743037,0.5936598837109042,0.6189780184280361,258.0,ResNet50 AugmentedData,ComputerVision target_min_corr
weighted avg,0.7628377318047017,0.7403100775193798,0.7424743963786508,258.0,ResNet50 AugmentedData,ComputerVision target_min_corr
